Polres;Presentase
Aceh Barat;8889
Bireuen;8889
Pidie Jaya;8889
Pidie;8889
Nagan Raya;8889
Kota Subulussalam;8889
Kota Sabang;8889
Kota Lhokseumawe;8889
Kota Langsa;8889
Kota Banda Aceh;8889
Gayo Lues;8889
Bener Meriah;8889
Aceh Barat Daya;8889
Aceh Utara;8889
Aceh Timur;8889
Aceh Tenggara;8889
Aceh Tengah;8889
Aceh Tamiang;8889
Aceh Singkil;8889
Aceh Selatan;8889
Aceh Jaya;8889
Aceh Besar;8889
Simeulue;8889
