Polres;Presentase
Aceh Barat;100
Bireuen;100
Pidie Jaya;100
Pidie;100
Nagan Raya;100
Kota Subulussalam;100
Kota Sabang;100
Kota Lhokseumawe;100
Kota Langsa;100
Kota Banda Aceh;100
Gayo Lues;100
Bener Meriah;100
Aceh Barat Daya;100
Aceh Utara;100
Aceh Timur;100
Aceh Tenggara;100
Aceh Tengah;100
Aceh Tamiang;100
Aceh Singkil;100
Aceh Selatan;100
Aceh Jaya;100
Aceh Besar;100
Simeulue;100
