Polres;Presentase
Aceh Barat;32,29
Bireuen;32,29
Pidie Jaya;32,29
Pidie;32,29
Nagan Raya;32,29
Kota Subulussalam;88,89
Kota Sabang;88,89
Kota Lhokseumawe;88,89
Kota Langsa;88,89
Kota Banda Aceh;88,89
Gayo Lues;88,89
Bener Meriah;88,89
Aceh Barat Daya;88,89
Aceh Utara;88,89
Aceh Timur;88,89
Aceh Tenggara;90,00
Aceh Tengah;90,00
Aceh Tamiang;90,00
Aceh Singkil;90,00
Aceh Selatan;88,89
Aceh Jaya;88,89
Aceh Besar;88,89
Simeulue;88,89
